ΟΛΥΜΠΙΑΚΟΣ,OLYMPIACOS,ΠΕΙΡΑΙΑΣ,PIRAEUS,OLY,ΟΛΥ
ΑΕΚ,AEK,ΑΘΗΝΑ,ATHENS,AEK,ΑΕΚ
ΠΑΟΚ,PAOK,ΘΕΣΣΑΛΟΝΙΚΗ,THESSALONIKI,PAOK,ΠΑΟΚ
ΑΡΗΣ,ARIS,ΘΕΣΣΑΛΟΝΙΚΗ,THESSALONIKI,ARIS,ΑΡΗΣ
ΑΠΟΛΛΩΝ,APOLLON,ΠΑΤΡΑ,PATRA,APOL,ΑΠΟΛ
ΠΑΝΑΘΗΝΑΙΚΟΣ,PANATHINAIKOS,ΑΘΗΝΑ,ATHENS,PAO,ΠΑΟ
ΛΑΡΙΣΑ BC,LARISSA BC,ΛΑΡΙΣΑ,LARISSA,LAR,ΛΑΡ
ΠΡΟΜΗΘΕΑΣ,PROMITHEAS,ΠΑΤΡΑ,PATRA,PROM,ΠΡΟΜ
ΛΑΥΡΙΟ BC,LAVRIO BC,ΛΑΥΡΙΟ,LAVRIO,LAV,ΛΑΥ
ΠΕΡΙΣΤΕΡΙ BC,PERISTERI BC,ΑΘΗΝΑ,ATHENS,PER,ΠΕΡ
